"","SiteName","Latitude","Longitude","Year","JulianDay","AphidCount","AphidDDS"
"1","2020-Site-17",47.27501,-117.14291,2020,154,0,388.906998540617
"2","2020-Site-17",47.27501,-117.14291,2020,161,0,435.545683365664
"3","2020-Site-17",47.27501,-117.14291,2020,169,1,499.790683365664
"4","2020-Site-17",47.27501,-117.14291,2020,175,0,573.880454672663
"5","2020-Site-17",47.27501,-117.14291,2020,182,0,659.422938867105
"6","2020-Site-17",47.27501,-117.14291,2020,189,0,732.467938867105
"7","2020-Site-16",47.32077,-117.23883,2020,154,0,378.299767202825
"8","2020-Site-16",47.32077,-117.23883,2020,161,0,423.466132166492
"9","2020-Site-16",47.32077,-117.23883,2020,169,1,485.771132166492
"10","2020-Site-16",47.32077,-117.23883,2020,175,0,559.099090424274
"11","2020-Site-16",47.32077,-117.23883,2020,182,0,643.720230926619
"12","2020-Site-16",47.32077,-117.23883,2020,189,0,715.265230926619
"13","2020-Site-15",46.57316,-117.15043,2020,154,1,447.457464924853
"14","2020-Site-15",46.57316,-117.15043,2020,161,4,499.547464924853
"15","2020-Site-15",46.57316,-117.15043,2020,168,4,559.717464924853
"16","2020-Site-15",46.57316,-117.15043,2020,175,14,645.441465975785
"17","2020-Site-15",46.57316,-117.15043,2020,182,3,731.759126276685
"18","2020-Site-15",46.57316,-117.15043,2020,189,6,807.594126276685
"19","2020-Site-14",46.55279,-116.99633,2020,154,1,424.968098387263
"20","2020-Site-14",46.55279,-116.99633,2020,161,2,474.973098387263
"21","2020-Site-14",46.55279,-116.99633,2020,168,2,532.52324607738
"22","2020-Site-14",46.55279,-116.99633,2020,175,11,617.080382033554
"23","2020-Site-14",46.55279,-116.99633,2020,182,1,700.636114631236
"24","2020-Site-14",46.55279,-116.99633,2020,189,3,775.741114631236
"25","2020-Site-13",46.56392,-116.94838,2020,154,0,426.601400872511
"26","2020-Site-13",46.56392,-116.94838,2020,161,2,476.906400872511
"27","2020-Site-13",46.56392,-116.94838,2020,168,3,534.544133158887
"28","2020-Site-13",46.56392,-116.94838,2020,175,7,619.331518500232
"29","2020-Site-13",46.56392,-116.94838,2020,182,1,702.902514702285
"30","2020-Site-13",46.56392,-116.94838,2020,189,7,778.437514702285
"31","2020-Site-12",46.55877,-116.8223,2020,154,1,405.576653050822
"32","2020-Site-12",46.55877,-116.8223,2020,161,9,454.011653050822
"33","2020-Site-12",46.55877,-116.8223,2020,168,1,509.579020245218
"34","2020-Site-12",46.55877,-116.8223,2020,175,5,592.736654210791
"35","2020-Site-12",46.55877,-116.8223,2020,182,4,674.067514941349
"36","2020-Site-12",46.55877,-116.8223,2020,189,21,748.562514941349
"37","2020-Site-11",46.54937,-116.94453,2020,154,0,428.192797658371
"38","2020-Site-11",46.54937,-116.94453,2020,161,2,478.732797658371
"39","2020-Site-11",46.54937,-116.94453,2020,168,0,536.529442721152
"40","2020-Site-11",46.54937,-116.94453,2020,175,3,621.575194279754
"41","2020-Site-11",46.54937,-116.94453,2020,182,1,705.29615086024
"42","2020-Site-11",46.54937,-116.94453,2020,189,8,781.10615086024
"43","2020-Site-10",47.27811,-117.32622,2020,128,0,206.72748043776
"44","2020-Site-10",47.27811,-117.32622,2020,135,0,256.255957016474
"45","2020-Site-10",47.27811,-117.32622,2020,142,0,299.483644427997
"46","2020-Site-10",47.27811,-117.32622,2020,149,0,349.353634288785
"47","2020-Site-10",47.27811,-117.32622,2020,154,0,401.169460693875
"48","2020-Site-10",47.27811,-117.32622,2020,161,0,448.384821065557
"49","2020-Site-10",47.27811,-117.32622,2020,169,3,512.769821065557
"50","2020-Site-10",47.27811,-117.32622,2020,175,0,587.741661913366
"51","2020-Site-10",47.27811,-117.32622,2020,182,0,674.343067625174
"52","2020-Site-10",47.27811,-117.32622,2020,189,0,747.143067625174
"53","2020-Site-09",46.4998,-117.66552,2020,135,0,333.339694470855
"54","2020-Site-09",46.4998,-117.66552,2020,142,0,381.419694470855
"55","2020-Site-09",46.4998,-117.66552,2020,149,0,440.656677008372
"56","2020-Site-09",46.4998,-117.66552,2020,154,0,499.986929925523
"57","2020-Site-09",46.4998,-117.66552,2020,161,0,556.271929925523
"58","2020-Site-09",46.4998,-117.66552,2020,175,0,713.248589549137
"59","2020-Site-09",46.4998,-117.66552,2020,182,0,806.503873035306
"60","2020-Site-09",46.4998,-117.66552,2020,189,0,887.117111349063
"61","2020-Site-08",46.81936,-117.20483,2020,135,0,285.375261070887
"62","2020-Site-08",46.81936,-117.20483,2020,142,0,329.948428147196
"63","2020-Site-08",46.81936,-117.20483,2020,149,0,382.208290576081
"64","2020-Site-08",46.81936,-117.20483,2020,154,0,437.33052305779
"65","2020-Site-08",46.81936,-117.20483,2020,161,0,487.31552305779
"66","2020-Site-08",46.81936,-117.20483,2020,169,0,554.91552305779
"67","2020-Site-08",46.81936,-117.20483,2020,175,0,630.02964258753
"68","2020-Site-08",46.81936,-117.20483,2020,182,0,716.220800000439
"69","2020-Site-08",46.81936,-117.20483,2020,189,1,789.760800000439
"70","2020-Site-07",46.59968,-116.55548,2020,135,0,255.299639803416
"71","2020-Site-07",46.59968,-116.55548,2020,142,0,296.878615670058
"72","2020-Site-07",46.59968,-116.55548,2020,149,0,349.631030471237
"73","2020-Site-07",46.59968,-116.55548,2020,154,0,405.43055745565
"74","2020-Site-07",46.59968,-116.55548,2020,161,0,454.412070398129
